Blog	older	mention	showing	country	albums	service	page	include	point	real	mentioned	perfect	should	moment	round	wonder	pretty	piece	actually	others	eric	thinking	turned	asked	powerful	ocean	seems	radio	hasn	theme	grimes	maybe	mark	creating	audience	dr	missing	those	via	cannot	fi	law	laughing	hot	continue	mso	saturday	board	similar	fell	forget	history	winter	successful	pop	explore	dream	les	isn	picked	men	various	least	fine	including	nor	small	limited	pictures	incredible	alone	younger	knows	nearly	previous	aware	falls	roots	evening	deal	film	somewhat	within	comes	double	worked	wild	started	perhaps	hurt	bands	slightly	green	range	theater	america	falling	king	parts	coffee	kicking	co	shake	death	thanks	several	german	hop	youtube	count	confident	loving	internet	someone	anyone	goal	punk	fiction	points	sent	cool	nick	return	gun	become	welcome	stage	society	pt	cities	brothers	further	face	fall	throughout	using	recording	among	lord	changing	giant	soon	eye	himself	cancer	continues	together	order	star	hat	sin	full	mom	useful	tune	hold	talk	edition	though	third	hook	regret	nd	god	tengo	pay	september	silver	child	eventually	entire	cast	twice	strange	weird	midnight	richard	difficult	eating	lead	accept	call	pre	lose	dum	cry	ride	industry	possible	imagine	broken	opens	gave	l	wolf	decade	wind	understand	otherwise	since	simply	tonight	original	golden	waste	strong	result	final	neighborhood	able	working	concert	why	recent	known	ultimately	media	formed	sam	words	terms	relationships	haven	its	human	break	happened	questions	la	excellent	describe	likes	everywhere	please	official	proud	seemed	guy	source	vision	cat	town	drunk	orange	straight	hair	scream	festival	truly	tell	string	missed	require	sunday	bass	played	business	driving	moore	hopefully	fit	second	easy	sleep	lovely	notice	indie	plan	title	couple	tree	listening	close	rise	easily	father	john	slow	cut	critical	stupid	bar	knowing	yet	approach	watching	effect	news	worth	guys	impossible	club	feels	plus	picture	prince	worse	carry	entirely	believe	learning	twenty	forever	running	question	deep	los	natural	miss	received	involved	changes	character	hate	challenge	system	door	stuff	use	extra	u	week	finally	awesome	set	personal	feature	nyc	shot	latin	production	inside	form	feet	without	sky	yourself	brand	clear	steps	h	enough	direction	chorus	damn	kid	ears	based	appearance	keys	psychedelic	acts	help	politics	brother	c	royal	name	dead	light	hits	towards	david	sons	indeed	dreams	moments	q	summer	present	wire	learn	current	beyond	notes	looked	saying	half	promise	nice	february	complete	exciting	youth	ready	london	fully	yes	create	fun	list	bowie	language	finding	grace	bill	featuring	wedding	game	school	version	taste	thoughts	tv	becomes	phase	win	faith	lost	p	font	listen	moon	shows	rhythm	photos	needed	yellow	kiss	problem	collective	jeff	quiet	such	traditional	often	closing	bloody	doesn	warm	streets	video	thought	ask	nobody	making	both	dude	included	sometimes	cold	general	sings	dawn	class	usa	era	wine	realized	latest	trying	lake	leaving	ok	certain	candy	vocals	secret	events	culture	group	super	left	river	mortal	fantastic	weeks	voice	andrew	car	nine	pure	mac	physical	features	low	holiday	silent	legendary	tales	drive	remember	background	em	learned	epic	children	smart	start	calls	side	cover	whatever	sister	line	interest	coming	less	team	material	ascii
from a voice plantation	0	0	0	5	1	0	0	0	1	0	0	2	8	2	4	0	14	2	9	1	0	0	1	0	0	0	8	1	0	1	0	5	1	2	1	0	0	2	2	0	0	0	2	0	0	0	1	0	3	2	1	0	0	0	11	4	0	0	1	0	0	0	0	0	2	0	8	0	0	2	2	0	1	0	2	0	0	0	0	0	1	1	0	1	5	2	0	5	0	0	2	3	7	1	0	0	0	0	0	0	0	0	0	0	4	1	2	1	2	0	0	0	0	1	2	0	6	0	1	0	1	1	2	1	1	0	3	0	0	1	1	2	1	0	0	3	6	0	0	0	2	1	0	1	0	0	6	0	1	0	0	4	0	0	1	0	0	0	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	3	0	2	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	2	0	2	1	0	3	2	0	1	1	0	0	1	1	0	3	0	0	0	1	0	0	0	0	8	3	0	1	0	2	1	1	1	0	1	0	4	2	15	0	0	1	3	0	3	1	1	5	0	3	0	25	3	1	1	2	0	1	0	4	0	1	0	0	7	0	1	1	1	0	5	3	2	0	0	0	27	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	2	1	0	0	0	0	1	5	5	4	0	1	3	3	0	7	0	2	0	0	0	0	6	2	0	0	1	0	1	3	2	3	1	0	0	0	0	2	0	0	0	2	4	2	2	0	0	0	1	3	5	0	4	0	0	0	0	0	0	0	3	1	0	0	1	0	1	1	1	0	1	2	2	0	1	1	9	1	2	2	4	0	0	4	0	0	0	3	1	1	0	1	0	0	1	0	0	0	0	3	3	0	1	1	2	0	9	0	1	0	0	0	0	0	3	0	4	0	0	2	0	2	4	1	1	0	2	0	0	0	6	0	0	0	0	0	1	0	0	0	7	3	0	1	1	0	0	3	0	1	0	1	0	3	7	0	0	0	2	0	1	1	0	0	1	2	0	0	0	2	0	1	2	2	0	0	0	0	0	1	0	5	3	0	0	2	0	2	1	0	0	0
Desolation Row Records	0	0	0	1	0	1	0	0	2	2	0	1	2	0	0	3	0	0	0	0	0	0	1	0	0	2	0	2	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	1	1	1	0	0	0	0	1	0	0	4	2	0	1	0	2	0	2	0	6	0	2	0	0	0	1	0	0	0	0	1	0	0	0	6	1	0	0	0	1	4	1	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	5	2	0	0	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	2	0	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	4	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	1	0	0	0	0	1	16	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	5	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	2	0	0	2	0	0	4	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
But She's Not Stupid	0	3	2	1	1	0	6	6	21	13	0	10	13	20	1	0	31	1	29	14	34	9	5	9	0	0	7	0	2	2	0	7	8	1	14	1	3	36	7	0	0	1	3	1	1	13	14	1	5	0	4	2	8	0	0	1	2	0	9	2	6	3	7	6	4	2	10	3	2	3	6	1	4	2	1	1	0	0	1	2	24	0	4	6	8	7	0	16	0	1	0	2	3	2	0	0	6	1	5	0	0	1	3	2	2	2	0	1	1	2	11	0	1	14	4	2	1	0	0	3	4	0	1	0	10	3	18	2	6	0	0	0	9	5	0	0	0	2	0	2	2	8	18	1	1	0	6	5	6	2	1	8	2	0	0	7	19	0	22	3	0	0	0	2	0	10	2	0	1	5	6	44	3	5	8	0	0	5	2	1	0	3	1	1	0	5	3	4	5	4	2	0	12	0	1	0	0	6	1	9	4	68	3	1	0	3	1	9	1	14	27	0	18	1	2	0	1	1	0	12	1	4	7	8	9	12	7	2	2	1	0	1	0	4	0	1	2	5	1	5	1	1	0	2	3	8	0	1	8	16	1	6	1	6	0	2	7	1	0	2	3	5	5	3	3	2	0	3	0	5	1	4	8	0	3	2	1	3	5	0	1	2	3	4	3	8	0	5	5	6	1	1	12	2	5	1	1	1	1	12	3	3	4	5	4	4	0	4	8	0	2	7	16	4	4	1	6	19	10	4	0	23	14	19	15	3	0	3	0	2	12	3	2	2	13	0	8	1	3	2	7	23	2	1	5	2	2	1	2	1	0	0	21	1	2	0	0	9	1	13	0	5	2	0	0	1	12	0	8	1	0	13	6	0	18	9	8	8	0	8	0	2	1	0	13	0	4	8	8	20	4	0	7	1	0	1	0	2	8	7	4	0	12	1	0	2	1	0	2	11	7	5	6	24	1	4	7	2	14	5	0	2	1	18	0	17	3	1	7	1	0	4	26	10	0	14	35	1	4	16	9	7	0	0	10	0	0	1	7	0	21	27	3	0	6	2	0	5	3	1	7	8	10	1	0	3	22	3	1	10	1	2	0	6	1	2	4	2	0	1	1	16	10	0	12	2	3	0	15	0	5	2	4	4	13	1	10	3	4	2	2
CRUZANDO EL UNIVERSO...	0	0	0	2	0	1	0	0	0	1	0	1	6	5	5	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	4	0	2	0	3	0	1	0	0	0	0	0	1	0	1	0	2	0	2	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	1	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	11	0	0	1	7	0	0	0	0	6	1	0	6	0	0	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	1	0	32	1	0	0	0	6	0	0	9	0	0	3	1	0	0	0	5	8	0	0	0	0	14	0	0	2	0	12	0	1	0	0	0	0	3	0	0	0	4	0	2	2	0	189	0	0	0	0	15	0	0	0	0	0	0	1	0	0	1	0	1	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	1	0	0	0	0	2	0	1	0	0	0	8	0	0	0	0	2	0	0	0	0	0	3	1	0	0	8	0	3	0	0	0	9	0	3	0	0	2	2	0	0	37	1	1	0	0	0	1	0	1	0	0	0	0	4	2	0	0	0	3	0	0	0	0	0	2	1	0	2	6	6	0	0	0	0	6	6	2	0	0	0	0	0	0	0	0	0	2	0	2	43	0	1	7	11	0	0	0	0	0	1	0	0	0	0	0	6	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	1	0	0	4	1	0	0	0	0	0	2	6	0	0	0	0	0	0	0	5	8	1	0	0	0	0	0	2	0	0	2	0	0	3	0	9	3	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	54	0	0	3	0	2	1	1	0	1	0	1	0	0	0	0	0	0
Rants from the Pants	0	3	0	1	0	2	4	0	2	1	0	3	7	3	0	2	10	0	6	0	0	0	2	3	1	0	2	0	0	0	0	7	0	0	1	0	0	11	1	1	0	0	2	3	0	0	2	0	1	0	0	0	0	0	0	0	0	1	4	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	2	1	1	0	1	1	3	0	0	3	0	0	0	1	0	1	3	0	0	0	4	0	1	1	0	5	0	1	1	4	4	1	0	0	0	2	3	3	0	2	0	1	3	0	0	0	0	0	1	6	2	0	1	0	0	0	1	0	2	3	1	5	0	0	1	2	0	1	3	0	0	0	1	2	1	5	0	1	1	0	2	0	2	0	1	2	0	3	0	0	0	2	0	1	2	2	0	0	3	0	1	0	2	0	1	0	1	1	0	3	0	0	0	1	4	0	7	0	1	2	1	2	1	0	0	0	2	3	2	6	1	0	0	1	0	0	3	0	0	2	1	1	3	1	1	0	1	1	5	0	3	0	1	0	5	0	0	1	0	1	4	1	5	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	1	2	0	3	0	0	1	1	0	0	0	0	2	3	1	0	1	0	3	2	0	2	0	2	0	2	0	0	0	0	0	0	0	1	5	1	0	2	0	0	0	1	2	0	0	2	1	0	0	0	0	1	0	0	0	0	1	2	2	1	3	0	0	0	0	0	1	0	1	0	0	2	5	0	3	0	0	0	0	4	0	0	1	2	0	0	0	1	0	0	1	1	0	0	1	2	1	1	1	0	0	0	0	1	0	0	2	1	0	0	2	1	0	0	2	1	1	4	0	2	0	0	2	0	1	3	0	5	5	0	0	0	0	0	1	0	5	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	12	0	0	4	2	3	1	4	2	2	0	1	0	3	0	1	1	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	5	0	0	3	1	1	0	0	0	0	0	0	1	0	1	3	0	0	2	0	1	4	2	0	1	0	2	1	0	0	1	2	1	0	0
GLI Press	0	0	0	3	2	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	5	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	19	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b'\xce\x9c\xce\x95\xce\xa3\xce\x91 \xce\xa3\xce\xa4\xce\x97 \xce\x92\xce\xa1\xce\xa9\xce\x9c\xce\x99\xce\x91'	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	1	0	0	0	4	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0	2	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	1	1	0	0	0	0	0	5	2	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	7	0	1	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21	0	0	4	2	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	3	0	1	0	1	1	0	0	0	0	0	1	0	0	0
Doginasweater's Music Reviews (And Other Horseshit)	0	0	0	2	0	0	0	0	2	5	1	0	3	0	0	1	9	0	8	0	0	0	0	0	0	0	1	1	1	2	0	4	0	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	9	0	1	1	2	1	0	0	4	3	2	1	2	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	4	1	0	0	1	1	0	3	0	0	2	0	0	0	0	1	1	0	0	1	1	0	7	1	0	0	0	1	0	1	0	0	0	1	3	1	0	0	3	0	0	0	1	0	0	0	2	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	5	0	1	0	0	0	1	3	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	2	2	0	0	1	2	0	0	0	2	0	0	0	0	0	3	0	1	0	1	0	2	5	0	0	0	2	0	4	2	0	3	0	0	0	0	1	0	0	0	3	0	1	2	1	0	0	0	2	0	1	0	3	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	0	1	0	2	1	0	0	0	0	0	0	3	0	5	2	0	0	0	0	0	1	0	0	0	0	4	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	4	0	0	1	0	0	1	0	2	0	0	12	0	1	0	0	1	0	0	0	0	0	2	3	0	4	0	1	4	0	0	0	1	0	1	1	10	1	0	3	0	0	1	0	0	0	1	0	1	1	2	0	0	1	0	0	3	2	0	0	0	1	1	0	0	2	0	4	0	1	0	0	6	0	0	5	0	0	0	0	1	2	0	0	0	0	0	0	0	0	4	4	1	0	1	0	3	1	0	1	0
MAGGOT CAVIAR	0	0	0	0	8	0	1	0	1	1	0	2	2	1	0	1	1	2	1	0	0	0	1	0	0	0	6	2	0	1	0	4	1	0	2	0	7	1	2	0	3	0	0	0	1	0	1	0	1	0	1	0	1	0	7	0	1	0	0	0	0	0	1	0	8	0	2	3	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	1	2	2	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	2	4	4	0	0	5	0	0	0	0	0	3	0	6	1	0	3	0	2	2	0	1	0	1	1	2	0	2	1	0	6	0	0	9	0	0	0	0	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	4	0	3	0	0	5	0	0	0	0	1	1	2	0	0	0	3	1	0	1	1	0	1	0	2	1	0	0	0	4	3	1	0	0	0	0	0	0	4	0	0	2	8	0	0	6	1	0	0	0	2	0	0	1	0	1	3	3	0	0	4	0	0	1	0	0	0	0	2	0	0	3	3	0	0	0	3	4	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	5	2	0	0	0	1	0	3	0	0	0	0	2	0	3	1	1	4	0	0	0	1	24	1	1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	0	0	1	0	1	0	1	0	2	2	3	0	0	0	0	0	0	0	1	0	1	0	2	0	0	17	0	2	0	1	0	1	0	2	0	0	0	1	0	1	1	0	4	0	0	0	1	1	0	0	0	1	0	0	0	1	3	1	3	1	3	1	0	1	1	0	0	0	0	2	1	1	0	3	4	0	0	0	0	0	2	3	7	0	1	0	2	1	2	1	0	5	0	1	0	1	0	4	0	0	0	10	0	0	1	0	1	0	0	5	2	0	0	1	2	1	0	0	0	2	0	1	0	2	1	0	0	0	0	2	1	0	0	1	0	0	2	4	0	3	1	0	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	1	2	0	0	15	2	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	2	0	0	0	0	1	0	4	3	0	1	4	0	1	0	0	5	0
Stories From the City, Stories From the Sea	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	1	1	0	0	0	0	1	0	4	0	0	2	0	0	0	0	0	3	0	0	0	1	0	3	0	9	0	5	7	0	0	1	0	2	0	0	0	3	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	3	1	0	0	0	7	1	0	0	6	3	2	0	0	1	0	1	0	0	0	0	2	4	1	0	0	0	0	0	0	3	0	0	0	0	5	1	4	0	0	0	0	0	0	0	4	1	1	0	0	1	2	0	1	0	0	2	7	0	0	0	0	5	0	4	2	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	2	1	0	0	0	0	0	0	8	0	1	0	0	0	4	2	1	0	0	3	0	0	0	0	0	2	1	0	0	0	0	1	2	0	0	7	2	0	0	4	3	0	0	0	0	0	3	1	1	0	3	0	0	0	0	0	1	0	1	0	1	0	3	0	4	0	1	0	1	0	6	0	0	4	1	0	0	0	0	2	0	0	1	12	0	0	0	0	0	0	0	0	1	0	1	0	1	0	8	0	0	2	4	0	0	0	1	0	0	6	3	0	1	0	1	6	0	0	2	0	1	0	2	0	1	0	1	4	2	0	1	8	0	0	0	1	0	0	1	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	5	0	0	4	0	0	9	3	0	10	1	0	1	0	0	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	5	0	4	0	0	0	0	0	1	0	1	1	0	0	4	0	0	1	0	3	2	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	2	0	1	0	1	1	0	0	4	0	0	0	0	0	0	0	2	0	0	10	0	2	0	4	0	2	1	0	7	0	3	0	1	0	0	3	7	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	24	2	1	3	0	0	0	1	0	0
The Power of Independent Trucking	1	2	0	0	1	3	3	0	6	6	2	4	0	1	2	0	14	1	3	4	8	1	5	7	0	0	0	2	0	3	0	3	4	0	2	0	0	4	7	0	0	1	1	0	1	16	1	0	3	1	3	0	0	0	0	0	1	0	3	2	0	3	6	0	3	0	2	0	1	0	1	0	2	2	4	2	0	1	2	0	0	0	0	3	5	8	0	3	4	0	4	1	0	0	0	1	1	0	3	0	1	3	0	2	8	5	0	0	2	0	0	0	0	5	1	1	13	0	1	1	6	0	0	0	1	0	2	3	5	0	1	1	4	2	3	3	11	2	1	0	0	1	0	2	0	0	1	13	0	0	0	5	0	0	1	0	1	2	9	1	2	0	1	0	2	2	2	0	0	5	3	0	2	0	1	0	0	0	0	1	0	2	2	1	0	0	0	1	0	0	0	0	3	6	0	0	0	0	0	7	7	0	17	0	0	1	2	4	0	2	9	0	10	2	4	1	0	3	0	2	2	0	2	5	1	4	2	1	2	2	0	1	0	9	0	1	2	3	0	0	0	1	0	0	2	0	0	0	2	4	4	2	0	1	18	5	0	2	0	0	2	3	0	0	0	3	0	2	1	5	0	5	5	0	3	1	1	1	1	1	2	0	4	10	0	2	0	2	4	3	0	0	0	0	0	0	0	1	1	1	0	2	0	0	1	0	0	1	1	2	3	1	0	3	0	0	0	9	2	0	1	5	3	3	24	0	2	0	0	2	0	1	1	0	7	1	2	1	1	0	0	4	0	1	4	0	2	3	0	0	0	0	5	0	0	7	0	4	3	2	0	1	0	0	0	0	0	0	1	2	2	0	1	1	1	0	0	2	0	4	1	2	0	0	1	4	2	4	1	4	0	0	0	2	0	1	0	0	3	2	12	0	1	0	0	0	1	1	2	3	8	8	0	1	1	0	1	0	0	6	1	10	1	4	0	4	2	1	5	0	0	1	3	3	0	1	7	0	0	3	2	2	0	3	0	0	1	0	1	0	2	1	0	1	6	0	7	1	0	0	0	0	1	0	0	2	0	1	3	0	0	0	1	0	0	1	0	0	2	0	3	8	1	1	3	0	2	0	3	0	1	12	1	1	1	3	4	0	0	11	2
forget about it	0	0	0	2	0	0	0	0	0	1	0	0	5	1	1	1	1	1	1	0	0	3	3	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	4	0	0	1	8	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
